Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_IC4H10_PFRC2 (),Mass_fraction_IC4H8_PFRC2 (),Mass_fraction_IC4H7_PFRC2 (),Mass_fraction_C4H8-1_PFRC2 (),Mass_fraction_C4H8-2_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_NC5H10_PFRC2 (),Mass_fraction_B1M2_PFRC2 (),Mass_fraction_B1M3_PFRC2 (),Mass_fraction_LC5H8_PFRC2 (),Mass_fraction_NC7H14_PFRC2 (),Mass_fraction_IC8H16_PFRC2 (),Mass_fraction_DIMEPTD_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_NC10H20_PFRC2 (),Mass_fraction_IC12H26_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),UHC_Sens_GasRxn#32_PFRC2 (),UHC_Sens_GasRxn#154_PFRC2 (),UHC_Sens_GasRxn#381_PFRC2 (),UHC_Sens_GasRxn#620_PFRC2 (),UHC_Sens_GasRxn#1148_PFRC2 (),UHC_Sens_GasRxn#2803_PFRC2 (),UHC_Sens_GasRxn#8284_PFRC2 (),UHC_Sens_GasRxn#8287_PFRC2 (),UHC_Sens_GasRxn#11455_PFRC2 (),UHC_Sens_GasRxn#11845_PFRC2 (),Volatile_organic_compounds_PFRC2 (ppm),VOC_Sens_GasRxn#32_PFRC2 (),VOC_Sens_GasRxn#154_PFRC2 (),VOC_Sens_GasRxn#381_PFRC2 (),VOC_Sens_GasRxn#620_PFRC2 (),VOC_Sens_GasRxn#1148_PFRC2 (),VOC_Sens_GasRxn#2803_PFRC2 (),VOC_Sens_GasRxn#8284_PFRC2 (),VOC_Sens_GasRxn#8287_PFRC2 (),VOC_Sens_GasRxn#11455_PFRC2 (),VOC_Sens_GasRxn#11845_PFRC2 ()
11.4,0.01568722,6.283185,3.141593,6.283185,692.1067,0.2353965,-141064.3,975.4779,1.188889E8,975.4779,1.000005,0.1997343,0.06856615,2.665994E-6,0.0101047,0.05069099,0.001358992,0.00336508,0.111937,0.002483459,0.004947256,0.002728992,0.1901216,5.689609E-4,0.01238898,0.001812256,0.01925267,9.367706E-4,0.007685384,0.001221939,0.005770577,0.001299397,8.824669E-4,0.01051038,0.009935007,0.06695654,0.01917831,0.07066985,0.003248,0.02689132,0.09022381,8.665828,1.082622E-4,492556.7,-0.003087987,9.245518E-4,8.867688E-4,0.001427184,-0.001158528,9.684298E-4,-0.002169389,-7.857718E-4,-0.00713081,-0.001365109,492563.7,-0.003088267,9.2471E-4,8.870771E-4,0.001427999,-0.001158874,9.687081E-4,-0.002170115,-7.853381E-4,-0.007131935,-0.001364864
11.6,0.01597645,6.283185,3.141593,6.283185,690.8871,0.2353965,-124224.3,973.724,1.185802E8,973.724,1.000005,0.1997262,0.06863893,2.546703E-6,0.01011734,0.05073777,0.0013609,0.00337367,0.1119932,0.002486351,0.004944301,0.002733613,0.1902523,5.517293E-4,0.0123856,0.001816025,0.0192653,9.380192E-4,0.007696144,0.001225347,0.005770873,0.001297733,8.821806E-4,0.01050987,0.009929563,0.06680012,0.01917124,0.07066494,0.003248903,0.02683366,0.09011426,8.665516,1.084533E-4,492539.0,-0.003085805,9.235324E-4,8.864992E-4,0.001423673,-0.001156031,9.660969E-4,-0.002180767,-7.836701E-4,-0.007124803,-0.001366543,492546.0,-0.003086079,9.236901E-4,8.868077E-4,0.00142449,-0.001156375,9.66374E-4,-0.002181496,-7.832319E-4,-0.007125938,-0.001366305
11.8,0.01626621,6.283185,3.141593,6.283185,689.6693,0.2353966,-103015.0,971.9748,1.182723E8,971.9748,1.000005,0.1997185,0.06870793,2.438163E-6,0.01012945,0.05078193,0.001362695,0.003382003,0.1120461,0.002489087,0.00494143,0.002738089,0.1903763,5.351081E-4,0.01238226,0.001819673,0.01927724,9.391935E-4,0.00770636,0.001228606,0.005771142,0.001296128,8.819102E-4,0.01050926,0.00992439,0.06665133,0.01916448,0.07066037,0.003249739,0.0267791,0.09001119,8.665223,1.086448E-4,492522.3,-0.003083686,9.225627E-4,8.862249E-4,0.001561944,-0.001153598,9.638402E-4,-0.002179045,-7.816588E-4,-0.007119062,-0.001367977,492529.3,-0.003083962,9.227204E-4,8.865339E-4,0.00156276,-0.001153942,9.641168E-4,-0.002179775,-7.812203E-4,-0.007120195,-0.001367738
12.0,0.01655646,6.283185,3.141593,6.283185,688.4532,0.2353966,-83722.2,970.23,1.179652E8,970.23,1.000006,0.1997111,0.06877358,2.334265E-6,0.01014108,0.05082376,0.001364392,0.0033901,0.1120962,0.002491683,0.004938639,0.002742432,0.1904946,5.190358E-4,0.01237898,0.001823212,0.01928855,9.403021E-4,0.007716088,0.001231733,0.005771389,0.001294577,8.816548E-4,0.01050857,0.009919458,0.06650938,0.019158,0.07065609,0.003250516,0.02672728,0.08991387,8.664946,1.088367E-4,492506.5,-0.003081624,9.216375E-4,8.859474E-4,0.00156063,-0.001151227,9.616538E-4,-0.002177363,-7.797308E-4,-0.007113566,-0.00136941,492513.5,-0.003081901,9.217951E-4,8.862568E-4,0.001561446,-0.00115157,9.619299E-4,-0.002178094,-7.792918E-4,-0.007114699,-0.00136917
12.2,0.01684723,6.283185,3.141593,6.283185,687.2389,0.2353966,-66303.96,968.4896,1.176589E8,968.4896,1.000006,0.1997041,0.06883594,2.234991E-6,0.01015224,0.05086331,0.001365991,0.00339796,0.1121435,0.002494143,0.00493593,0.002746644,0.1906071,5.035101E-4,0.01237575,0.00182664,0.01929927,9.413467E-4,0.007725338,0.001234728,0.005771613,0.001293082,8.814144E-4,0.01050781,0.009914764,0.06637414,0.01915179,0.0706521,0.003251238,0.02667816,0.08982213,8.664685,1.09029E-4,492491.7,-0.00307962,9.207562E-4,8.856675E-4,0.001559331,-0.001148916,9.595382E-4,-0.002175722,-7.77881E-4,-0.007108312,-0.001370838,492498.7,-0.003079897,9.209137E-4,8.859773E-4,0.001560148,-0.001149259,9.598137E-4,-0.002176454,-7.774411E-4,-0.007109446,-0.001370598
12.4,0.01713851,6.283185,3.141593,6.283185,686.0264,0.2353966,-50670.47,966.7536,1.173533E8,966.7536,1.000006,0.1996974,0.06889516,2.140168E-6,0.01016293,0.05090068,0.001367497,0.00340559,0.1121881,0.002496472,0.0049333,0.002750728,0.1907142,4.885133E-4,0.01237259,0.001829961,0.01930941,9.423306E-4,0.007734131,0.001237596,0.005771817,0.00129164,8.811885E-4,0.01050698,0.009910299,0.06624531,0.01914585,0.07064837,0.003251907,0.02663159,0.08973568,8.664439,1.092217E-4,492477.7,-0.003077672,9.199168E-4,8.853861E-4,0.001558102,-0.001146667,9.574918E-4,-0.002174122,-7.761087E-4,-0.007103291,-0.001372258,492484.7,-0.00307795,9.200743E-4,8.856962E-4,0.001558919,-0.001147009,9.577667E-4,-0.002174855,-7.756685E-4,-0.007104424,-0.001372018
12.6,0.0174303,6.283185,3.141593,6.283185,684.8159,0.2353966,-35804.49,965.0219,1.170485E8,965.0219,1.000006,0.199691,0.0689514,2.050039E-6,0.01017319,0.05093601,0.001368917,0.003412996,0.1122302,0.002498679,0.004930748,0.00275469,0.1908161,4.7403E-4,0.01236949,0.001833178,0.01931901,9.432571E-4,0.007742489,0.001240344,0.005772001,0.001290251,8.809765E-4,0.01050609,0.009906052,0.06612261,0.01914017,0.0706449,0.003252527,0.02658745,0.08965422,8.664207,1.094148E-4,492464.5,-0.003075778,9.191173E-4,8.851039E-4,0.001556916,-0.001144477,9.555126E-4,-0.002172562,-7.74411E-4,-0.007098492,-0.001373668,492471.5,-0.003076057,9.192748E-4,8.854144E-4,0.001557733,-0.001144819,9.557869E-4,-0.002173296,-7.739705E-4,-0.007099624,-0.001373427
12.8,0.0177226,6.283185,3.141593,6.283185,683.6072,0.2353966,-21475.45,963.2944,1.167445E8,963.2944,1.000006,0.1996848,0.06900484,1.964595E-6,0.01018304,0.0509694,0.001370254,0.003420187,0.11227,0.00250077,0.004928273,0.002758534,0.190913,4.600444E-4,0.01236646,0.001836295,0.0193281,9.441298E-4,0.007750437,0.001242976,0.005772167,0.001288912,8.807781E-4,0.01050515,0.00990201,0.06600569,0.01913474,0.07064167,0.003253103,0.02654559,0.08957742,8.663988,1.096083E-4,492452.1,-0.003073935,9.183555E-4,8.848218E-4,0.001555772,-0.001142346,9.535987E-4,-0.002171041,-7.727841E-4,-0.007093906,-0.001375067,492459.1,-0.003074213,9.185128E-4,8.851326E-4,0.001556589,-0.001142686,9.538723E-4,-0.002171776,-7.72342E-4,-0.007095041,-0.001374827
13.0,0.01801543,6.283185,3.141593,6.283185,682.4004,0.2353966,-7665.218,961.5711,1.164412E8,961.5711,1.000006,0.199679,0.06905563,1.883438E-6,0.01019248,0.05100097,0.001371514,0.003427168,0.1123075,0.002502752,0.004925874,0.002762265,0.1910054,4.465399E-4,0.0123635,0.001839316,0.01933671,9.449519E-4,0.007757996,0.001245498,0.005772317,0.001287623,8.805929E-4,0.01050416,0.009898164,0.06589426,0.01912954,0.07063866,0.003253637,0.02650588,0.089505,8.663782,1.098021E-4,492440.4,-0.003072141,9.176293E-4,8.845404E-4,0.001554668,-0.001140271,9.51748E-4,-0.00216956,-7.712241E-4,-0.007089524,-0.001376454,492447.5,-0.003072411,9.177858E-4,8.84851E-4,0.001555489,-0.00114061,9.520205E-4,-0.002170297,-7.707773E-4,-0.007090671,-0.001376222
13.2,0.01830877,6.283185,3.141593,6.283185,681.1956,0.2353966,3955.165,959.8519,1.161386E8,959.8519,1.000006,0.1996734,0.06910393,1.80512E-6,0.01020154,0.05103083,0.001372702,0.003433947,0.112343,0.002504631,0.004923548,0.002765888,0.1910933,4.33495E-4,0.01236061,0.001842242,0.01934487,9.457266E-4,0.007765185,0.001247915,0.005772452,0.001286383,8.804205E-4,0.01050312,0.009894504,0.06578805,0.01912458,0.07063586,0.003254134,0.0264682,0.08943668,8.663587,1.099963E-4,492429.4,-0.003070392,9.169368E-4,8.842603E-4,0.001553605,-0.001138252,9.499586E-4,-0.002168117,-7.697279E-4,-0.007085339,-0.001377827,492436.6,-0.003070648,9.170919E-4,8.845703E-4,0.00155443,-0.001138589,9.502294E-4,-0.002168859,-7.692722E-4,-0.00708651,-0.001377611
13.4,0.01860263,6.283185,3.141593,6.283185,679.9927,0.2353966,8820.034,958.1368,1.158367E8,958.1368,1.000006,0.1996681,0.06914977,1.726375E-6,0.01021023,0.05105904,0.001373818,0.003440525,0.1123765,0.00250641,0.004921296,0.002769403,0.1911771,4.208555E-4,0.01235779,0.001845077,0.01935259,9.464564E-4,0.00777202,0.001250231,0.005772571,0.001285188,8.802595E-4,0.01050205,0.009891024,0.06568683,0.01911983,0.07063326,0.003254594,0.02643247,0.08937228,8.663404,1.101909E-4,492419.0,-0.003068699,9.162778E-4,8.839823E-4,0.00155258,-0.00113629,9.482311E-4,-0.002166713,-7.68298E-4,-0.007081336,-0.001379174,492426.2,-0.003068951,9.164325E-4,8.842925E-4,0.001553407,-0.001136626,9.485009E-4,-0.002167458,-7.678393E-4,-0.007082514,-0.001378963
13.6,0.01889703,6.283185,3.141593,6.283185,678.7919,0.2353967,19144.79,956.4258,1.155356E8,956.4258,1.000006,0.199663,0.06919326,1.655804E-6,0.01021855,0.05108568,0.001374869,0.003446907,0.112408,0.002508095,0.004919114,0.002772814,0.1912568,4.086773E-4,0.01235505,0.001847819,0.0193599,9.471423E-4,0.007778512,0.001252448,0.005772675,0.001284038,8.801102E-4,0.01050095,0.009887717,0.06559049,0.01911529,0.07063084,0.00325502,0.02639861,0.08931162,8.663232,1.103858E-4,492409.2,-0.003067055,9.156505E-4,8.837072E-4,0.001551593,-0.001134384,9.465604E-4,-0.002165345,-7.669318E-4,-0.007077511,-0.001380502,492416.4,-0.003067305,9.158051E-4,8.840176E-4,0.00155242,-0.001134719,9.468294E-4,-0.00216609,-7.664716E-4,-0.007078691,-0.001380292
13.8,0.01919195,6.283185,3.141593,6.283185,677.593,0.2353967,27482.3,954.7188,1.152351E8,954.7188,1.000006,0.1996581,0.06923463,1.587667E-6,0.01022654,0.05111089,0.001375858,0.003453108,0.1124378,0.002509694,0.004917001,0.00277613,0.1913327,3.969043E-4,0.01235237,0.001850477,0.01936683,9.47789E-4,0.007784692,0.001254574,0.005772768,0.00128293,8.799717E-4,0.01049982,0.009884567,0.06549858,0.01911095,0.07062859,0.003255416,0.02636645,0.08925434,8.663069,1.105811E-4,492399.9,-0.003065454,9.150519E-4,8.834347E-4,0.001550641,-0.001132529,9.449474E-4,-0.002164014,-7.656224E-4,-0.007073846,-0.001382596,492407.1,-0.003065706,9.152065E-4,8.837454E-4,0.001551469,-0.001132863,9.452159E-4,-0.00216476,-7.651621E-4,-0.007075026,-0.001382385
14.0,0.01948738,6.283185,3.141593,6.283185,676.3961,0.2353967,35096.62,953.0156,1.149354E8,953.0156,1.000006,0.1996535,0.06927404,1.522445E-6,0.01023422,0.05113478,0.001376792,0.003459136,0.112466,0.002511213,0.004914951,0.002779355,0.1914052,3.855171E-4,0.01234976,0.001853054,0.01937341,9.483997E-4,0.007790584,0.001256616,0.005772849,0.001281862,8.798435E-4,0.01049867,0.009881565,0.06541079,0.0191068,0.0706265,0.003255785,0.02633585,0.08920016,8.662915,1.107768E-4,492391.2,-0.003063896,9.144803E-4,8.831656E-4,0.001549724,-0.001130724,9.433877E-4,-0.002162717,-7.643672E-4,-0.007070362,-0.001383838,492398.4,-0.003064147,9.146348E-4,8.834764E-4,0.001550552,-0.001131058,9.436556E-4,-0.002163464,-7.639061E-4,-0.007071542,-0.001383628
14.2,0.01978332,6.283185,3.141593,6.283185,675.2013,0.2353967,41836.99,951.3162,1.146363E8,951.3162,1.000007,0.199649,0.06931153,1.459996E-6,0.01024159,0.05115739,0.001377671,0.003464991,0.1124927,0.002512654,0.004912966,0.00278249,0.1914744,3.745112E-4,0.01234723,0.001855552,0.01937966,9.489752E-4,0.007796192,0.001258574,0.005772919,0.001280835,8.797254E-4,0.01049749,0.009878706,0.06532704,0.01910283,0.07062455,0.003256127,0.02630679,0.089149,8.66277,1.109728E-4,492382.9,-0.003062381,9.139352E-4,0.001122165,0.00154884,-0.00112897,9.41881E-4,-0.002161456,-7.631651E-4,-0.00706699,-0.001385061,492390.2,-0.00306263,9.140895E-4,0.001122472,0.001549669,-0.001129303,9.421483E-4,-0.002162203,-7.627027E-4,-0.007068173,-0.001384853
14.4,0.02007979,6.283185,3.141593,6.283185,674.0085,0.2353967,47530.38,949.6207,1.143378E8,949.6207,1.000007,0.1996448,0.06934718,1.400023E-6,0.01024866,0.05117877,0.001378499,0.003470677,0.1125179,0.002514021,0.004911044,0.002785538,0.1915403,3.638722E-4,0.01234477,0.001857972,0.01938558,9.495176E-4,0.007801529,0.001260452,0.005772979,0.001279846,8.796171E-4,0.0104963,0.009875984,0.06524716,0.01909904,0.07062275,0.003256446,0.02627919,0.08910068,8.662634,1.111692E-4,492375.2,-0.003060906,9.134154E-4,0.001119189,0.00154799,-0.001127266,9.40426E-4,-0.002160228,-7.620143E-4,-0.007063765,-0.001386263,492382.4,-0.003061154,9.135695E-4,0.001119497,0.00154882,-0.001127598,9.406925E-4,-0.002160977,-7.615504E-4,-0.007064952,-0.001386056
14.6,0.02037679,6.283185,3.141593,6.283185,672.8177,0.2353967,52179.65,947.929,1.140401E8,947.929,1.000007,0.1996407,0.06938108,1.342463E-6,0.01025545,0.051199,0.001379278,0.003476199,0.1125416,0.002515318,0.004909184,0.002788501,0.1916031,3.535866E-4,0.01234238,0.001860317,0.0193912,9.500286E-4,0.007806608,0.001262253,0.00577303,0.001278894,8.79518E-4,0.0104951,0.009873394,0.06517098,0.01909541,0.07062107,0.003256742,0.02625297,0.08905508,8.662505,1.11366E-4,492367.8,-0.003059474,9.129198E-4,0.001116356,0.001547172,-0.00112561,9.39021E-4,-0.002159035,-7.609132E-4,-0.007060714,-0.001387442,492375.1,-0.003059721,9.130738E-4,0.001116664,0.001548002,-0.001125941,9.39287E-4,-0.002159784,-7.604485E-4,-0.007061902,-0.001387236
14.8,0.02067431,6.283185,3.141593,6.283185,671.629,0.2353967,57272.62,946.2411,1.13743E8,946.2411,1.000007,0.1996368,0.06941332,1.288389E-6,0.01026196,0.05121814,0.00138001,0.003481562,0.1125641,0.002516548,0.004907383,0.002791383,0.1916631,3.436478E-4,0.01234006,0.001862587,0.01939653,9.505101E-4,0.007811444,0.001263981,0.005773072,0.001277978,8.794277E-4,0.01049388,0.009870928,0.06509831,0.01909194,0.07061952,0.003257017,0.02622806,0.08901199,8.662383,1.115631E-4,492360.9,-0.003058081,9.12447E-4,0.001113653,0.001546385,-0.001124001,9.376648E-4,-0.002157874,-7.598595E-4,-0.00705778,-0.001388598,492368.2,-0.003058329,9.126011E-4,0.001113961,0.001547215,-0.001124332,9.379303E-4,-0.002158624,-7.593947E-4,-0.007058968,-0.001388392
15.0,0.02097235,6.283185,3.141593,6.283185,670.4425,0.2353967,62872.37,944.5569,1.134466E8,944.5569,1.000007,0.1996331,0.06944403,1.237545E-6,0.01026822,0.05123627,0.0013807,0.003486774,0.1125853,0.002517717,0.00490564,0.002794187,0.1917203,3.340512E-4,0.01233781,0.001864788,0.01940158,9.509639E-4,0.007816051,0.00126564,0.005773105,0.001277097,8.79346E-4,0.01049265,0.009868579,0.06502895,0.01908863,0.07061808,0.003257273,0.02620437,0.08897127,8.662268,1.117605E-4,492354.4,-0.003056724,9.119957E-4,0.001111073,0.001545628,-0.001122438,9.363531E-4,-0.002156745,-7.588503E-4,-0.007054974,-0.001389733,492361.7,-0.00305697,9.121495E-4,0.001111381,0.001546458,-0.001122768,9.366179E-4,-0.002157496,-7.583839E-4,-0.007056165,-0.001389529
15.2,0.02127093,6.283185,3.141593,6.283185,669.258,0.2353967,64304.41,942.8765,1.131508E8,942.8765,1.000007,0.1996296,0.06947322,1.18546E-6,0.01027422,0.0512534,0.001381348,0.003491834,0.1126053,0.002518825,0.004903954,0.002796915,0.1917748,3.247594E-4,0.01233563,0.001866919,0.01940639,9.513917E-4,0.007820435,0.00126723,0.005773132,0.001276251,8.792725E-4,0.01049142,0.009866344,0.06496279,0.01908546,0.07061676,0.003257511,0.02618188,0.08893281,8.66216,1.119583E-4,492348.2,-0.003055404,9.115652E-4,0.001108609,0.0015449,-0.00112092,9.35093E-4,-0.002155647,-7.578833E-4,-0.00705229,-0.001390844,492355.5,-0.003055647,9.117186E-4,0.001108916,0.001545731,-0.001121249,9.353573E-4,-0.002156399,-7.57415E-4,-0.007053486,-0.001390644
15.4,0.02157006,6.283185,3.141593,6.283185,668.0757,0.2353968,68161.65,941.1998,1.128557E8,941.1998,1.000007,0.1996262,0.06950095,1.13848E-6,0.01027997,0.05126959,0.001381956,0.003496744,0.1126242,0.002519875,0.004902325,0.002799567,0.1918268,3.157926E-4,0.01233352,0.001868981,0.01941094,9.517939E-4,0.007824602,0.001268755,0.00577315,0.001275437,8.792068E-4,0.01049018,0.009864219,0.06489977,0.01908244,0.07061553,0.003257732,0.02616053,0.08889654,8.662058,1.121564E-4,492342.4,-0.003054124,9.111555E-4,0.001106266,0.001544201,-0.001119449,9.338739E-4,-0.002154582,-7.569617E-4,-0.007049727,-0.00139193,492349.7,-0.003054368,9.11309E-4,0.001106574,0.001545032,-0.001119777,9.341378E-4,-0.002155335,-7.564934E-4,-0.007050922,-0.001391728
15.6,0.02186969,6.283185,3.141593,6.283185,666.8955,0.2353968,71048.69,939.5267,1.125612E8,939.5267,1.000007,0.1996229,0.06952742,1.092947E-6,0.01028551,0.05128496,0.00138253,0.003501522,0.1126421,0.002520874,0.004900745,0.002802152,0.1918764,3.071127E-4,0.01233147,0.001870982,0.01941527,9.521742E-4,0.007828581,0.001270221,0.005773163,0.001274653,8.791482E-4,0.01048894,0.00986219,0.06483949,0.01907955,0.0706144,0.003257939,0.02614018,0.08886214,8.661961,1.123549E-4,492337.0,-0.003052877,9.107958E-4,0.001104025,0.001543527,-0.001118018,9.326972E-4,-0.002153546,-7.560779E-4,-0.007047269,-0.001392993,492344.2,-0.003053121,9.109493E-4,0.001104333,0.001544359,-0.001118346,9.329606E-4,-0.002154299,-7.556092E-4,-0.007048464,-0.001392792
15.8,0.02216986,6.283185,3.141593,6.283185,665.7174,0.2353968,73438.29,937.8572,1.122674E8,937.8572,1.000007,0.1996198,0.06955264,1.049279E-6,0.01029083,0.05129952,0.00138307,0.003506165,0.112659,0.002521824,0.004899216,0.002804671,0.1919239,2.98716E-4,0.01232949,0.001872921,0.01941939,9.525332E-4,0.007832376,0.001271629,0.00577317,0.001273898,8.790965E-4,0.0104877,0.009860255,0.0647819,0.01907678,0.07061335,0.003258131,0.0261208,0.08882958,8.66187,1.125538E-4,492331.8,-0.003051664,9.10423E-4,0.001101886,0.00154288,-0.001116629,9.315616E-4,-0.002152539,-7.552316E-4,-0.007044916,-0.001394032,492339.1,-0.003051908,9.105765E-4,0.001102194,0.001543712,-0.001116957,9.318245E-4,-0.002153292,-7.547625E-4,-0.007046111,-0.001393831
16.0,0.02247055,6.283185,3.141593,6.283185,664.5415,0.2353968,75412.4,936.1914,1.119742E8,936.1914,1.000007,0.1996168,0.06957666,1.007455E-6,0.01029594,0.05131332,0.001383578,0.003510677,0.112675,0.002522727,0.004897737,0.002807124,0.1919692,2.905953E-4,0.01232757,0.001874799,0.01942331,9.528718E-4,0.007835993,0.001272982,0.005773171,0.001273172,8.790514E-4,0.01048646,0.009858411,0.0647269,0.01907414,0.07061238,0.003258311,0.02610236,0.08879877,8.661784,1.127529E-4,492326.9,-0.003050485,9.10067E-4,0.001099844,0.001542258,-0.001115282,9.304659E-4,-0.002151561,-7.544217E-4,-0.007042663,-0.001395047,492334.2,-0.003050729,9.102204E-4,0.001100153,0.001543089,-0.001115609,9.307284E-4,-0.002152315,-7.539523E-4,-0.007043859,-0.001394846
16.2,0.02277178,6.283185,3.141593,6.283185,663.3677,0.2353968,77062.63,934.5291,1.116816E8,934.5291,1.000007,0.199614,0.06959953,9.674565E-7,0.01030084,0.05132638,0.001384055,0.00351506,0.1126901,0.002523584,0.004896306,0.002809513,0.1920125,2.827432E-4,0.01232572,0.001876619,0.01942703,9.53191E-4,0.007839439,0.001274281,0.005773168,0.001272474,8.790128E-4,0.01048522,0.009856655,0.06467441,0.01907161,0.07061148,0.003258478,0.02608482,0.08876962,8.661703,1.129524E-4,492322.3,-0.003049338,9.097271E-4,0.001097898,0.001541659,-0.001113973,9.294054E-4,-0.002150608,-7.536482E-4,-0.007040508,-0.001396038,492329.5,-0.003049582,9.098806E-4,0.001098206,0.001542491,-0.0011143,9.296675E-4,-0.002151362,-7.531786E-4,-0.007041704,-0.001395837
16.4,0.02307354,6.283185,3.141593,6.283185,662.1961,0.2353968,78346.33,932.8704,1.113897E8,932.8704,1.000007,0.1996112,0.06962131,9.293184E-7,0.01030555,0.05133875,0.001384503,0.00351932,0.1127044,0.002524398,0.004894922,0.002811841,0.1920538,2.751513E-4,0.01232392,0.001878382,0.01943057,9.53492E-4,0.007842723,0.001275528,0.005773159,0.001271802,8.789802E-4,0.01048398,0.009854981,0.06462429,0.01906919,0.07061066,0.003258634,0.02606813,0.08874204,8.661626,1.131523E-4,492317.9,-0.003048222,9.094025E-4,0.00109604,0.001541085,-0.001112704,9.283904E-4,-0.002149685,-7.529069E-4,-0.007038446,-0.001397005,492325.2,-0.003048467,9.09556E-4,0.001096349,0.001541917,-0.00111303,9.28652E-4,-0.002150439,-7.524373E-4,-0.007039641,-0.001396804
16.6,0.02337583,6.283185,3.141593,6.283185,661.0266,0.2353968,79748.91,931.2152,1.110983E8,931.2152,1.000008,0.1996086,0.06964206,8.92851E-7,0.01031008,0.05135046,0.001384924,0.003523459,0.1127178,0.002525171,0.004893584,0.00281411,0.1920933,2.678104E-4,0.01232219,0.001880089,0.01943394,9.537758E-4,0.007845854,0.001276727,0.005773147,0.001271157,8.789533E-4,0.01048275,0.009853386,0.06457644,0.01906688,0.07060991,0.003258779,0.02605225,0.08871595,8.661554,1.133525E-4,492313.8,-0.003047137,9.090925E-4,0.001094268,0.001540532,-0.001111472,9.274079E-4,-0.002148788,-7.521979E-4,-0.007036472,-0.001397948,492321.1,-0.003047382,9.09246E-4,0.001094577,0.001541364,-0.001111797,9.276692E-4,-0.002149543,-7.517282E-4,-0.007037667,-0.001397747
16.8,0.02367866,6.283185,3.141593,6.283185,659.8594,0.2353968,80744.24,929.5636,1.108076E8,929.5636,1.000008,0.1996061,0.06966184,8.579578E-7,0.01031442,0.05136156,0.001385319,0.003527482,0.1127306,0.002525906,0.004892289,0.002816323,0.192131,2.607109E-4,0.01232051,0.001881744,0.01943714,9.540436E-4,0.00784884,0.001277879,0.00577313,0.001270535,8.78932E-4,0.01048153,0.009851865,0.06453073,0.01906468,0.07060922,0.003258915,0.02603712,0.08869123,8.661485,1.13553E-4,492309.9,-0.003046082,9.087962E-4,0.001092578,0.001540002,-0.001110279,9.264606E-4,-0.002147917,-7.515196E-4,-0.007034583,-0.001398868,492317.2,-0.003046327,9.089498E-4,0.001092887,0.001540834,-0.001110604,9.267215E-4,-0.002148673,-7.510498E-4,-0.007035777,-0.001398667
17.0,0.02398202,6.283185,3.141593,6.283185,658.6943,0.2353968,81523.49,927.9156,1.105176E8,927.9156,1.000008,0.1996037,0.06968068,8.245684E-7,0.0103186,0.05137207,0.00138569,0.003531391,0.1127426,0.002526604,0.004891036,0.002818479,0.1921669,2.538469E-4,0.0123189,0.001883346,0.01944019,9.54296E-4,0.007851685,0.001278985,0.00577311,0.001269938,8.789159E-4,0.01048031,0.009850416,0.06448711,0.01906257,0.07060858,0.003259042,0.02602273,0.08866784,8.661421,1.137538E-4,492306.3,-0.003045056,9.085151E-4,0.001090966,0.001539493,-0.001109121,9.255479E-4,-0.002147073,-7.508712E-4,-0.007032775,-0.001399765,492313.5,-0.003045301,9.086686E-4,0.001091275,0.001540325,-0.001109446,9.258084E-4,-0.002147828,-7.504011E-4,-0.00703397,-0.001399563
